Species,Species and authority,Category,Use,Group,Location,No. of occurrences in GBIF,Authors,Title,Journal,Volume,Pages,Ist quartile,Median,3rd quartile,Notes
Monodora myristica,,Health care,used to induce menstruation,Medicine: Menstrual relief,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",58,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,1958,1963,1994,
Morinda citrifolia ,Morinda citrifolia L.,Health care,treating diabetes mellitus,Medicine: Diabetes,Greater Accra Region,0,"Asase, A., & Yohonu, D. T. (2016)",Ethnobotanical study of herbal medicines for management of diabetes mellitus in Dangme west district of Southern Ghana.,Journal of Herbal Medicine ,6(4),204-209,NA,NA,NA,
Morinda lucida,Morinda lucida Benth.,Health care,treating fever,Medicine: Fever,Brong-Ahafo Region,45,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1977,1977,1995,
Morinda lucida,Morinda lucida Benth.,Health care,treating malaria,Medicine: Malaria,Brong-Ahafo Region,45,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1977,1977,1995,
Morinda lucida,Morinda lucida Benth.,Health care,treating typhoid fever,Medicine: Fever,Brong-Ahafo Region,45,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1977,1977,1995,
Morinda lucida,Morinda lucida Benth.,Health care,treating candidiasis,Medicine: Infections,Brong-Ahafo Region,45,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1977,1977,1995,
Morinda lucida,Morinda lucida Benth.,Health care,treating boils,Medicine: Infections,Greater Accra Region,45,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,NA,NA,NA,
Morinda lucida,Morinda lucida Benth.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,45,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1977,1977,1995,
Morinda lucida,Morinda lucida Benth.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,49,"Asase, A., & Asafo-Agyei, T. (2011)",Plants used for treatment of malaria in communities around the Bobiri forest reserve in Ghana,"Journal of herbs, spices & medicinal plants ",17(2) ,85-133,1977,1977,1995,
Morinda lucida,,Health care,used as aphrodisiac,Medicine: Infertility,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",45,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,1977,1977,1995,
Morinda lucida,,Health care,for treating puerperal fever,Medicine: Fever,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",45,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,1977,1977,1995,
Morinda lucida,,Health care,for treating malaria ,Medicine: Malaria,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",45,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,1977,1977,1995,
Morinda lucida,,Health care,for clearing phlegms,Medicine: Fever,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",45,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,1977,1977,1995,
Morinda lucida,,Health care,treating diarrhoea,Medicine: Diarrhoea,Brong-Ahafo Region,,"Henry, S. G., Francis, A., & Kofi, A. (2013)",Ethnobotanical survey of medicinal plants used for the treatment of diarrhoea and skin ulcer in the Brong Ahafo region of Ghana,Journal of Medicinal Plants Research ,7(44) ,3280-3285,1977,1977,1995,
Moringa oleifera, Moringa oleifera Lam.,Health care,treating  pruritus,Medicine: Skin disorders,Greater Accra Region,31,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,1953,1955,1956,
Moringa oleifera, Moringa oleifera Lam.,Health care,treating jaundice,Medicine: Jaundice,Greater Accra Region,31,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,1953,1955,1956,
Moringa oleifera, Moringa oleifera Lam.,Health care,used for blood tonic,Medicine: Blood booster,Greater Accra Region,31,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,1953,1955,1956,
Moringa oleifera,Moringa oleifera Lam.,Food and nutrition,leaves are taken as vegetables,Food,Upper West Region,31,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1953,1955,1956,
Moringa oleifera,Moringa oleifera Lam.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,31,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1953,1955,1956,
Momordica charantia,,Agriculture,used as protectants of stored grains,Post-harvest protectant,Ashanti Region,,"Cobbinah, J. R., Moss, C., Golob, P., & Belmain, S. R. (1999)",Conducting ethnobotanical surveys: an example from Ghana on plants used for the protection of stored cereals and pulses ,(NRI Bulletin 77),,,NA,NA,NA,Mormodica charanta was recorded in the paper but GBIF found it as Momordica charantia
Mucuna sloanei,Mucuna sloanei Fawc. & Rendle ,Health care,arresting bleeding,Medicine: Wound healing,Volta Region,9,"Barku, V. Y., Opoku-Boahen, Y., & Dali, G. A. (2015)","Ethnobotanical study of wound healing plants in Kpando Traditional Area, Ghana",International Journal of Phytomedicine ,6(4) ,564-572,1996,1996,1996,
Mucuna sloanei,,Culture,used for rituals,Cultural purposes,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",9,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,1996,1996,1996,
Musa paradisiaca,Musa paradisiaca L. ,Health care,arresting bleeding,Medicine: Wound healing,Volta Region,1,"Barku, V. Y., Opoku-Boahen, Y., & Dali, G. A. (2015)","Ethnobotanical study of wound healing plants in Kpando Traditional Area, Ghana",International Journal of Phytomedicine ,6(4) ,564-572,NA,NA,NA,
Musa paradisiaca,Musa paradisiaca L.,Health care,treating wounds,Medicine: Wound healing,Asanti Region,1,"Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)",Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management,Sustainability,9(8),1468,NA,NA,NA,
Musa paradisiaca,Musa paradisiaca L.,Health care,treating fever,Medicine: Fever,Asanti Region,1,"Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)",Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management,Sustainability,9(8),1468,NA,NA,NA,
Musa paradisiaca,Musa paradisiaca L.,Health care,treating headaches,Medicine: Analgesic,Asanti Region,1,"Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)",Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management,Sustainability,9(8),1468,NA,NA,NA,
Musa paradisiaca,Musa paradisiaca L.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,1,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,NA,NA,NA,
Musa paradisiaca,Musa paradisiaca L.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,1,"Asase, A., & Asafo-Agyei, T. (2011)",Plants used for treatment of malaria in communities around the Bobiri forest reserve in Ghana,"Journal of herbs, spices & medicinal plants ",17(2) ,85-130,NA,NA,NA,
Musa paradisiaca,Musa paradisiaca L. ,Health care,treating fevers,Medicine: Fever,Greater Accra Region,1,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,NA,NA,NA,
Musa paradisiaca,Musa paradisiaca L. ,Health care,treating malaria,Medicine: Malaria,Greater Accra Region,1,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,NA,NA,NA,
Musa paradisiaca,Musa paradisiaca L. ,Health care,treating diarrhoea,Medicine: Diarrhoea,Greater Accra Region,1,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,NA,NA,NA,
Musa paradisiaca,Musa paradisiaca L. ,Health care,treating loss of appetite,Medicine: Fever,Greater Accra Region,1,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,NA,NA,NA,
Musa paradisiaca,Musa paradisiaca L. ,Health care,treating candidiasis,Medicine: Infections,Greater Accra Region,1,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,NA,NA,NA,
Musa sapientum ,Musa sapientum L.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,0,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,NA,NA,NA,
Nauclea diderrichii,Nauclea diderrichii (De Wild. & T. Durand),Health care,treating sexual weakness,Medicine: Infertility,Brong-Ahafo Region,Name didn’t appear in search,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1956,1976,1994,
Nauclea diderrichii,,Health care,treating diarrhoea,Medicine: Diarrhoea,Brong-Ahafo Region,,"Henry, S. G., Francis, A., & Kofi, A. (2013)",Ethnobotanical survey of medicinal plants used for the treatment of diarrhoea and skin ulcer in the Brong Ahafo region of Ghana,Journal of Medicinal Plants Research ,7(44) ,3280-3285,1956,1976,1994,
Nauclea latifolia,Nauclea latifolia Sm.,Health care,treating malaria,Medicine: Malaria,Upper West Region,44,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1953,1979,1995,
Nauclea latifolia,Nauclea latifolia Sm.,Food and nutrition,fruits are taken raw,Food,Upper West Region,44,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1953,1979,1995,
Nauclea latifolia,Nauclea latifolia Sm.,Health care,treating malaria,Medicine: Malaria,Upper West Region,44,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1953,1979,1995,
Nauclea latifolia,Nauclea latifolia Sm.,Construction,used for roofing buildings,Building materials,Upper West Region,44,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1953,1979,1995,
Nauclea latifolia,Nauclea latifolia Sm.,Social,used for carving artefacts,Artefacts,Upper West Region,44,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1953,1979,1995,
Nauclea latifolia,Nauclea latifolia Sm.,Health care,treating malaria,Medicine: Malaria,Upper West Region,44,"Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)",Ethnobotanical study of some Ghanaian anti-malarial plants,Journal of Ethnopharmacology ,99(2) ,273-279,1953,1979,1995,
Newbouldia laevis,Newbouldia laevis (P.Beauv.) Seem.,Health care,treating stomach upsets,Medicine: Stomach upset,Asanti Region,38,"Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)",Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management,Sustainability,9(8),1468,1953,1963,1963,
Newbouldia laevis,Newbouldia laevis (P.Beauv.) Seem.,Health care,treating coughs,Medicine: Coughs,Asanti Region,38,"Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)",Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management,Sustainability,9(8),1468,1953,1963,1963,
Newbouldia laevis,Newbouldia laevis (P.Beauv.) Seem.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,31,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1953,1963,1963,
Newbouldia laevis,Newbouldia laevis (P.Beauv.) Seem. ex Bureau,Health care,treating bone fractures,Medicine: Fractures,Brong-Ahafo Region,31,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1953,1963,1963,
Newbouldia laevis,Newbouldia laevis(P. Beauv.) Seem.,Health care,"treating prostate, breast and ovarian cancer",Medicine: Cancer,Ashanti Region,31,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1953,1963,1963,
Nicotiana tabacum,Nicotiana tabacum L.,Health care,treating rib pains,Medicine: Analgesic,Upper West Region,7,"Wodah, D., & Asase, A. (2012)",Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana,Pharmaceutical biology ,50(7) ,807-815,1931,1931,1931,
Nicotiana tabacum,,Agriculture,used as protectants of stored grains,Post-harvest protectant,Ashanti Region,,"Cobbinah, J. R., Moss, C., Golob, P., & Belmain, S. R. (1999)",Conducting ethnobotanical surveys: an example from Ghana on plants used for the protection of stored cereals and pulses ,(NRI Bulletin 77),,,NA,NA,NA,
Ochna rhizomatosa,Ochna rhizomatosa (van Tiegh.) Keay,Health care,treating rib pains,Medicine: Analgesic,Upper West Region,12,"Wodah, D., & Asase, A. (2012)",Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana,Pharmaceutical biology ,50(7) ,807-815,1947,1952,1961,
Ocimum americanum,,Agriculture,used for preserving food,Post-harvest protectant,"Northern, Upper East and Upper West Regions",41,"Belmain, S. R., Neal, G. E., Ray, D. E., & Golob, P. (2001)",Insecticidal and vertebrate toxicity associated with ethnobotanicals used as post-harvest protectants in Ghana,Food and Chemical Toxicology,39(3),287-293,1970,1984,1997,
